482010071,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,
[-],PM10 (FRM),,,,,TCEQ,1,Active,,validated data
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,
,81102,1,Pm10 Total 0-10um Stp,AIR,Active,,,,,
