482010057,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,,
[-],Canister (Single),,,,,TCEQ,116,Active,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,43557,1,3-Hexanone,AIR,Inactive,,,,,,
,43559,1,Methyl Butyl Ketone,AIR,Inactive,,,,,,
,43560,1,Methyl Isobutyl Ketone,AIR,Inactive,,,,,,
,43563,1,3-Heptanone,AIR,Inactive,,,,,,
,43564,1,2-Methyl-3-Hexanone,AIR,Inactive,,,,,,
,43835,1,Chloroprene,AIR,Inactive,,,,,,
,43950,1,Heptanal,AIR,Inactive,,,,,,
,45501,1,Benzaldehyde,AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Temperature (Outdoor),,,,,TCEQ,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,62101,1,Outdoor Temperature,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Wind,,,,,TCEQ,5,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,61101,1,Wind Speed - Scalar,AIR,Active,,,,,,
,61103,1,Wind Speed - Resultant,AIR,Active,,,,,,
,61104,1,Wind Direction - Resultant,AIR,Active,,,,,,
,61105,1,Peak Wind Gust,AIR,Active,,,,,,
,61106,1,Std Dev Hz Wind Direction,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Chromatotec Gas Chromatograph,,,,,Ecotech,128,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,10998,2,3-Methyl-1-Butene And Cyclopentene (ppbV),AIR,Inactive,,,,,,
,10998,3,3-Methyl-1-Butene And Cyclopentene (ppbV),AIR,Inactive,,,,,,
,10999,2,2-Methylhexane And 2-3-Dimethylpentane,AIR,Inactive,,,,,,
,10999,3,2-Methylhexane And 2-3-Dimethylpentane,AIR,Inactive,,,,,,
,43000,2,Sum of PAMS Target Compounds,AIR,Inactive,,,,,,
,43000,3,Sum of PAMS Target Compounds,AIR,Inactive,,,,,,
