AQS Code  Sort by AQS Code descending,CAMS,TCEQ Region,Reg#,Site Name,Street Address,City,ZIP,Latitude,Longitude,Elevation,UTM Zone,UTM Letter,Easting Meters,Northing Meters,Params,Activation Date,Deactivation Date,Owned By
480611023,1023,HARLINGEN,15,Harlingen Teege,1602 W Teege Avenue,Harlingen,78550,26.2003347,-97.7126837,12.0m,14,R,600081,2876067,7,9-Oct-12,Active,TCEQ
480612004,"0323, 0667 ",HARLINGEN,15,Isla Blanca Park,Lot B 69 1/2,South Padre,,26.0696153,-97.1621996,0m,14,R,700181,2877216,7,1-Aug-05,Active,TCEQ
480650004,104,AMARILLO,1,Pantex 4,SW of FM 293 & FM 2373 Intersection,Amarillo,,35.3359717,-101.587083,1079.0m,14,S,226202,3877157,103,29-Jan-04,Active,TCEQ
480650005,105,AMARILLO,1,Pantex 5,W of FM 293 & FM 2373 Intersection,Amarillo,,35.3529795,-101.5806223,,14,S,226202,3877157,202,13-Jan-04,Active,TCEQ
480650007,79,AMARILLO,1,Pantex 7,Masterson Pump Station,Amarillo,,35.382749,-101.5608419,1079.0m,14,S,226202,3877157,7,12-Jul-99,Active,TCEQ
480710013,"0096, 0638 ",HOUSTON,12,Smith Point Hawkins Camp,1850 Hawkins Camp Rd,Anahuac,,29.5462437,-94.7869686,0m,15,R,307085,3320469,6,6-Sep-00,Active,TCEQ
480850003,,DALLAS/FORT WORTH,4,Frisco 5th St,7471 South 5th Street,Frisco,,33.1423361,-96.8246832,198.0m,14,S,686847,3653064,3,1-Jan-84,Active,TCEQ
480850005,"0031, 0680 ",DALLAS/FORT WORTH,4,Frisco,6590 Hillcrest Road,Frisco,,33.1324003,-96.7864188,232.0m,14,S,686847,3653064,8,7-May-92,Active,TCEQ
480850007,,DALLAS/FORT WORTH,4,Frisco 7,6931 Ash Street,Frisco,,33.1474141,-96.8257693,208.0m,14,S,686847,3653064,4,14-Jan-94,Active,TCEQ
480850009,1010,DALLAS/FORT WORTH,4,Frisco Eubanks,6601 Eubanks,Frisco,75034,33.1446618,-96.8288087,198.0m,14,S,686847,3653064,10,15-Jan-95,Active,TCEQ
480850029,,DALLAS/FORT WORTH,4,Frisco Stonebrook,7202 Stonebrook Parkway,Frisco,75034,33.1360249,-96.8244725,212.0m,14,S,686847,3653064,3,7-Jan-11,Active,TCEQ
480910503,503,SAN ANTONIO,13,Bulverde Elementary,1715 E Ammann Road,Bulverde,,29.7608333,-98.4627778,335.0m,14,R,596450,3319206,1,27-Aug-02,Active,Alamo Area Council of Governments
480910505,505,SAN ANTONIO,13,City of Garden Ridge,21340 FM 3009,Garden Ridge,78226,29.6391667,-98.2986111,299.0m,14,R,596450,3319206,1,25-Mar-03,Active,Alamo Area Council of Governments
